source_path,size_bytes,duration,container,video_codec,audio_codec,width,height,bitrate,faststart_status,recommended_profile,delete_after_verify
/mnt/spirit-8tb/media/tempTwitter/Cum Bunny - https：⧸⧸t.co⧸VEOBrvMjhi [2005643254641917952].mp4,2278638,27.701406,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,720,658056,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/sexxual - the kind of distraction i need in a relationship 😍 [2028616414395846656].mp4,3285426,24.636372,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,1280,1066853,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/Rita 🍓 - such a great pair [2028224068877701120].mp4,4620347,21.966077,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,718,1280,1682720,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/Cum Bunny - https：⧸⧸t.co⧸8Cp0rPV2qb [2004785411218968576].mp4,6516158,59.001905,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,688,1264,883518,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/Brian Allen - 🚨 BREAKING： Rep. Ted Lieu says the full Epstein files contain informa... [2028542197713252354].mp4,9250338,119.420227,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1280,720,619683,moov-before-mdat,remux-faststart-only,yes
"/mnt/spirit-8tb/media/tempTwitter/GoonYourBrain - When your daughter says she’s “can’t stop, won’t stop” but you wish s... [2005739606273032192].mp4",13168155,41.842358,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1920,1080,2517669,moov-before-mdat,mobile-720p,yes
/mnt/spirit-8tb/media/tempTwitter/T!ts - https：⧸⧸t.co⧸XUmR7ZqY7F [1996128216981860352].mp4,17899606,24.543492,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1440,2160,5834412,moov-before-mdat,mobile-720p,yes
/mnt/spirit-8tb/media/tempTwitter/Cum All Over - https：⧸⧸t.co⧸rduPxyLxOK [1785483955548164096].mp4,24179957,507.704308,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,720,381008,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/CUNT.BUNNie🎀 - 😜 [2004007835118772224].mp4,71423688,731.196372,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,720,781444,moov-before-mdat,remux-faststart-only,yes
"/mnt/spirit-8tb/media/tempTwitter/NSFWPornstars - The Most Perfect BJ &amp; Swallow you’ll see today 😈  Slow, sloppy, d... [2026565219053379584].mp4",126543235,448.704,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1920,1080,2256155,moov-before-mdat,mobile-720p,yes
