path,filename,extension,size_bytes,modified_time,supported_video,ignored_incomplete,old_enough,reason
/mnt/spirit-8tb/media/tempTwitter/Jazmen - @Vanessa5957285 I see it! [2026836764846112768].mp4,Jazmen - @Vanessa5957285 I see it! [2026836764846112768].mp4,.mp4,2776129,2026-06-21T03:07:21.025Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/Jazmen - @zanji_49 Zero! [2026672869103775750].mp4,Jazmen - @zanji_49 Zero! [2026672869103775750].mp4,.mp4,2959812,2026-06-21T03:07:24.057Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/Katie Vaynes 💋 - Is it a turn off to be this dirty？ I need to know for science! [2026064732944236544].mp4,Katie Vaynes 💋 - Is it a turn off to be this dirty？ I need to know for science! [2026064732944236544].mp4,.mp4,6225046,2026-06-21T03:06:56.304Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/TacticalStNick - It’s #TiddyTuesday. I really want a steak now. [2026189555464851456].mp4,TacticalStNick - It’s #TiddyTuesday. I really want a steak now. [2026189555464851456].mp4,.mp4,8364732,2026-06-21T03:07:16.918Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/The Azz Station 🍑⛽️ - #bigass #latina #blowjob #backshots #homemade #pov [1973055886064222208].mp4,The Azz Station 🍑⛽️ - #bigass #latina #blowjob #backshots #homemade #pov [1973055886064222208].mp4,.mp4,69205007,2026-06-21T03:06:36.091Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/Woe - @Djoko_UTD my favorite kind of wardrobe malfunction tbh [2027116242063278080].mp4,Woe - @Djoko_UTD my favorite kind of wardrobe malfunction tbh [2027116242063278080].mp4,.mp4,1182631,2026-06-21T03:06:19.090Z,yes,no,no,modified less than 120s ago
"/mnt/spirit-8tb/media/tempTwitter/Wofaase👿 - Cardi B’s BBL looks so real, I won’t lie. 😭 [2026678432273219584].mp4","Wofaase👿 - Cardi B’s BBL looks so real, I won’t lie. 😭 [2026678432273219584].mp4",.mp4,68414758,2026-06-21T03:07:07.044Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/bookmarksList.txt,bookmarksList.txt,.txt,59740,2026-06-21T00:10:51.343Z,no,no,yes,unsupported input
/mnt/spirit-8tb/media/tempTwitter/rain - https：⧸⧸t.co⧸WQu6ei6f6U [2004007835118772224].fhls-774.mp4.part,rain - https：⧸⧸t.co⧸WQu6ei6f6U [2004007835118772224].fhls-774.mp4.part,.part,37915837,2026-06-21T03:07:43.021Z,no,yes,no,incomplete/temp file
/mnt/spirit-8tb/media/tempTwitter/rain - https：⧸⧸t.co⧸WQu6ei6f6U [2004007835118772224].fhls-774.mp4.ytdl,rain - https：⧸⧸t.co⧸WQu6ei6f6U [2004007835118772224].fhls-774.mp4.ytdl,.ytdl,71,2026-06-21T03:07:43.024Z,no,yes,no,incomplete/temp file
