path,filename,extension,size_bytes,modified_time,supported_video,ignored_incomplete,old_enough,reason
/mnt/spirit-8tb/media/tempTwitter/Alita The Succubus - Fuck her raw ❌ Fuck her till she cums ❌ Last more than 30 seconds ❌ D... [1933085564737093632].mp4,Alita The Succubus - Fuck her raw ❌ Fuck her till she cums ❌ Last more than 30 seconds ❌ D... [1933085564737093632].mp4,.mp4,1891733,2026-06-21T02:50:05.179Z,yes,no,no,modified less than 120s ago
"/mnt/spirit-8tb/media/tempTwitter/Alita The Succubus - Over before it even started, a second in her mouth is all it took and... [1924826673779810304].mp4","Alita The Succubus - Over before it even started, a second in her mouth is all it took and... [1924826673779810304].mp4",.mp4,6545505,2026-06-21T02:50:09.889Z,yes,no,no,modified less than 120s ago
"/mnt/spirit-8tb/media/tempTwitter/Alita The Succubus - The average bwc that “latinas just can’t resist”, turning into a prej... [1935084033693700096].mp4","Alita The Succubus - The average bwc that “latinas just can’t resist”, turning into a prej... [1935084033693700096].mp4",.mp4,1613523,2026-06-21T02:50:01.141Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/AvaAlex No PPV!!❤️ - The royale treatment💦 [1856336834487291905].mp4,AvaAlex No PPV!!❤️ - The royale treatment💦 [1856336834487291905].mp4,.mp4,1376909,2026-06-21T02:49:41.373Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/Blair 🌹 - So quick...   and I love it! 💗  #prematureejaculation #prejac [1994013863273279488].mp4,Blair 🌹 - So quick...   and I love it! 💗  #prematureejaculation #prejac [1994013863273279488].mp4,.mp4,11055592,2026-06-21T02:49:56.931Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/Blair 🌹 - Timed Premature Ejaculation 🤭  Good boy  #handjob #prejac [2013875103797518338].mp4,Blair 🌹 - Timed Premature Ejaculation 🤭  Good boy  #handjob #prejac [2013875103797518338].mp4,.mp4,9760739,2026-06-21T02:49:50.579Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/My Prejac Boyfriend - Cumming first didn’t help him fuck me longer 😅 [1944567124287987712].mp4,My Prejac Boyfriend - Cumming first didn’t help him fuck me longer 😅 [1944567124287987712].mp4,.mp4,6373671,2026-06-21T02:49:45.451Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/asad - https：⧸⧸t.co⧸GDO2gJAUXb [2015946958326923267].fhls-1374.mp4,asad - https：⧸⧸t.co⧸GDO2gJAUXb [2015946958326923267].fhls-1374.mp4,.mp4,227481064,2026-06-21T02:51:15.817Z,no,yes,no,incomplete/temp file
/mnt/spirit-8tb/media/tempTwitter/asad - https：⧸⧸t.co⧸GDO2gJAUXb [2015946958326923267].fhls-audio-128000-Audio.mp4.part,asad - https：⧸⧸t.co⧸GDO2gJAUXb [2015946958326923267].fhls-audio-128000-Audio.mp4.part,.part,11140690,2026-06-21T02:51:37.639Z,no,yes,no,incomplete/temp file
/mnt/spirit-8tb/media/tempTwitter/asad - https：⧸⧸t.co⧸GDO2gJAUXb [2015946958326923267].fhls-audio-128000-Audio.mp4.ytdl,asad - https：⧸⧸t.co⧸GDO2gJAUXb [2015946958326923267].fhls-audio-128000-Audio.mp4.ytdl,.ytdl,71,2026-06-21T02:51:37.645Z,no,yes,no,incomplete/temp file
/mnt/spirit-8tb/media/tempTwitter/bookmarksList.txt,bookmarksList.txt,.txt,59740,2026-06-21T00:10:51.343Z,no,no,yes,unsupported input
