source_path,size_bytes,duration,container,video_codec,audio_codec,width,height,bitrate,faststart_status,recommended_profile,delete_after_verify
/mnt/spirit-8tb/media/tempTwitter/Nickii - Bounce balls 🏀 [2025017694571855872].mp4,204107,3.431667,"mov,mp4,m4a,3gp,3g2,mj2",h264,,720,900,475820,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/Mittens - Small forehead ones have a special place in my heart [2024542299502333952].mp4,1420482,16.718367,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,1280,679722,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/🐙Creature🔞 - Did you that a study from the Hamburg Research Institute in Germany o... [2023458331801911296].mp4,1458008,10.10068,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1280,720,1154780,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/T!ts - 🔗 - @jazmen000  sext with your AI Girlfriend 👇 [2019196553978597376].mp4,1671027,13.633333,"mov,mp4,m4a,3gp,3g2,mj2",h264,,720,1352,980553,moov-before-mdat,mobile-720p,yes
/mnt/spirit-8tb/media/tempTwitter/LA LISA UPDATES - Liiiiisaaaaa 🥵 [2022715797613813760].mp4,2092222,12.701315,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,720,1317798,moov-before-mdat,remux-faststart-only,yes
"/mnt/spirit-8tb/media/tempTwitter/Pearl ✿ - The bouncier, the better [2023415611259326464].mp4",2474265,17.414966,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,960,1136615,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/b i g - https：⧸⧸t.co⧸tidaRxcMZP [1967684556514807808].mp4,2567682,24.148753,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,744,720,850621,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/PrematureGooner - wataa 💦 [2015007096040001536].mp4,2676183,23.545034,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1280,720,909298,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/asianshf - https：⧸⧸t.co⧸gJ7Of8tw4N [2023881836913692672].mp4,2839312,24.868571,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1082,720,913381,moov-before-mdat,remux-faststart-only,yes
"/mnt/spirit-8tb/media/tempTwitter/Mai Nguyen - Good morning, empty your wallet for me [2023881836913692672].mp4",2839312,24.868571,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1082,720,913381,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/I'm Villoni - Chudai 😋 [2022666604371423232].mp4,2995750,48.042086,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,540,540,498854,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/Ash 🫧 - Might turn some heads in these [2025373633879715840].mp4,3218019,22.198277,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,1202,1159736,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/Katie Vaynes 💋 - Mommy wants you to feel how soft they are…😈 [2024256243733237760].mp4,4019980,22.569796,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1280,720,1424906,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/LilyKoti 🙀 - This is how much I need a good rest this weekend 🫦 [2008197600260866048].mp4,4600896,13.973333,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1920,1080,2634100,moov-before-mdat,mobile-720p,yes
/mnt/spirit-8tb/media/tempTwitter/ʙᴏᴏʙᴢ ᴘᴇʀꜰᴇᴄᴛ - TITTY DROP 💧 [2003262409939816448].mp4,7154224,30.418141,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,1280,1881567,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/Mallkoovaa - wataa [2002281692476641280].mp4,8590514,51.4322,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,1280,1336207,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/Woe - @valecas96 this is the exact video that put me on a watchlist ✨ [2024962721393922048].mp4,10405866,55.217052,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,1280,1507630,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/Katie Vaynes 💋 - Keep your man’s belly full and balls empty. The world would be a bett... [2017007711217414144].mp4,10517727,26.795828,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1920,1080,3140108,moov-before-mdat,mobile-720p,yes
/mnt/spirit-8tb/media/tempTwitter/Throne 🍑 - Spend all day rting my posts and I’ll spend all day spamming your dms... [2023316101057363968].mp4,20888567,134.582857,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1280,720,1241677,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/＊~♡~Erin~♡~＊ - Hey Y’all💚 Happy Fri-high-day🙌🏻 In from work and had dinner. Now let’... [2025021051344769024].mp4,96143748,289.738594,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1080,1920,2654634,moov-before-mdat,mobile-720p,yes
