source_path,size_bytes,duration,container,video_codec,audio_codec,width,height,bitrate,faststart_status,recommended_profile,delete_after_verify
/mnt/spirit-8tb/media/tempTwitter/Late Mood Activated 🌙 - https：⧸⧸t.co⧸AVnIUPFE7v [2030837663679512576].mp4,901568,15.13941,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,480,852,476408,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/🏳️‍⚧️Candice Blonde🏳️‍⚧️ - This is what u need to do if I wanna use his load as lube 🤭😈 [1743939373001752576].mp4,957241,10.634739,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,932,720,720086,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/DevotedMommy - Should I lose a little weight？ [2019235565565014016].mp4,1126770,7.325,"mov,mp4,m4a,3gp,3g2,mj2",h264,,588,1280,1230602,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/luna ✮⋆˙ - isn’t that crazy？ [2020242425739153408].mp4,1432461,6.083628,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,1280,1883693,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/luna🌼 - my side profile &gt;&gt;&gt; [2031685963462635520].mp4,1470170,2.182676,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1080,1920,5388504,moov-before-mdat,mobile-720p,yes
/mnt/spirit-8tb/media/tempTwitter/Arthur Collins - Can I get a kiss 👄💋？ [2031284122010923016].mp4,1524103,12.585215,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,1280,968821,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/Secret Worth Clicking 👀 - https：⧸⧸t.co⧸BdaJjHQLG4 [2030945031868284929].mp4,1690835,8.452063,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,1280,1600399,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/luna ✮⋆˙ - what movie would we watch？？ [2032056060698320896].mp4,1827983,8.382404,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,1280,1744590,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/luna☁️ - i didn’t think you would lose that easily [2031960675715858437].mp4,2236131,12.120816,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,1280,1475894,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/luna ✮⋆˙ - ready for the real thing？ [2022300969976156160].mp4,2307692,13.003175,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,1280,1419771,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/Arthur Collins - comment “yes” and wait 💝 [2030580756104544256].mp4,2668302,17.623946,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,1280,1211216,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/LilyKoti 🙀 - Can I just touch it a little bit？ 🥺 [2008232699811565568].mp4,2916025,13.162667,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1920,1080,1772300,moov-before-mdat,mobile-720p,yes
/mnt/spirit-8tb/media/tempTwitter/luna ✮⋆˙ - SCROLL CHECKPOINT  did u make it ？ [2022663434635218949].mp4,3058152,17.693605,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,1280,1382715,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/Gianna J - 44 year old mom shaking my ass like it’s 1999 [2031200324455657472].mp4,3073843,11.122358,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,788,1280,2210929,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/DevotedMommy - New voice 🫣😂 [2020527180845887489].mp4,3097734,28.537324,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,588,1280,868402,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/Pearl ✿ - Trying to hypnotize you with my booty! ：) [2031130603274514432].mp4,3182230,14.466032,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,960,720,1759835,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/Julia 🩵 FREE OF - https：⧸⧸t.co⧸tTzGsI5zpb [2030983540830261248].mp4,3312222,14.558912,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,1280,1820038,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/Good Girl Kate 💗 - https：⧸⧸t.co⧸MaidfGUiUW [2030063803292151808].mp4,3515671,25.37941,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,1280,1108196,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/𝐅𝐞𝐢𝐧 ✞ - Twitch has reached a new all-time low. All it is now is female stream... [2030766231033430016].mp4,4115070,44.303673,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1280,720,743066,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/かみぱっぱ - こんなに大きな重りを付けているのに何という体幹だ…  地面になりたい [2030875714594201601].mp4,4898092,29.70196,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,1280,1319264,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/Kraziilexii On 🩵🤍 - Worship This Juicy Fat Ass💋 [2028261860181692416].mp4,5366061,18.978333,"mov,mp4,m4a,3gp,3g2,mj2",h264,,1080,1920,2261973,moov-before-mdat,mobile-720p,yes
/mnt/spirit-8tb/media/tempTwitter/sloppiananyc - Fuck my throat as you call me the 🐐🌊 [1800597792080920576].mp4,5615264,15.11619,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1080,1080,2971787,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/Valorie 💕 (Face on OF) - are my boobs busty enough for you？ 😈 [2031709050430447616].mp4,5890958,39.682902,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,608,1080,1187606,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/Quilly Media - I wonder how disappointed her father is when he sees a clip of his da... [2031044033494081536].mp4,6102140,20.967619,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1920,1080,2328214,moov-before-mdat,mobile-720p,yes
/mnt/spirit-8tb/media/tempTwitter/giddy - Pokimane knows pretty well what she was doing here 💀 [2030796356760268800].mp4,6577750,36.919728,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1080,1320,1425308,moov-before-mdat,mobile-720p,yes
/mnt/spirit-8tb/media/tempTwitter/FinoFilipino - La prensa hidráulica humana. [2030813286225371136].mp4,8211056,55.960091,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,1280,1173844,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/Kraziilexii On 🩵🤍 - Can I throw this on you？🥺👉🏼👈🏼 [2030872035040342016].mp4,13535283,39.682902,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1080,1920,2728688,moov-before-mdat,mobile-720p,yes
/mnt/spirit-8tb/media/tempTwitter/Kraziilexii On 🩵🤍 - Is this thicc enough 4 uu😚💞 [2026217170875916288].mp4,13982501,44.280454,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1080,1920,2526171,moov-before-mdat,mobile-720p,yes
/mnt/spirit-8tb/media/tempTwitter/✨ Goddess Celeste 🪐 - “You don’t need to pick me up babe my friend is going to drive me hom... [2025962830311170048].mp4,16829365,60.046803,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1078,1856,2242166,moov-before-mdat,mobile-720p,yes
/mnt/spirit-8tb/media/tempTwitter/luna ✮⋆˙ - can u keep up？ [2021751580098539520].mp4,19215422,42.608617,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1080,1920,3607800,moov-before-mdat,mobile-720p,yes
/mnt/spirit-8tb/media/tempTwitter/Sweet Muffins ! - Chudai 🥰 [2020924744720121856].mp4,28837473,21.780317,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,2160,3840,10592122,moov-before-mdat,mobile-720p,yes
